evtID,trkID,segnum,PID,pdgID,X,Y,Z,TX,TY,E
100116,30253,4,18,-11,-7351.423,27461.605,214187.5,-0.03612358,0.022516675,14.879477
100116,30253,4,20,-11,-7467.6045,27527.34,217041.48,-0.044610023,0.018597515,14.879477
100116,30253,4,21,-11,-7535.8643,27560.715,218468.48,-0.04399533,0.026608214,14.879477
100116,30268,3,17,11,-7219.6343,27672.623,212760.5,-0.03235533,0.048044227,9.220438
100116,30268,3,18,11,-7266.5986,27729.09,214187.5,-0.031538762,0.035137895,9.220438
100116,30268,3,19,11,-7310.2896,27783.105,215614.5,-0.031464934,0.047659487,9.220438
100123,31859,3,17,-11,-13784.47,18822.648,212760.5,-0.032761596,0.013594161,1.3781378
100123,31859,3,18,-11,-13830.856,18838.008,214187.5,-0.03768704,0.007590259,1.3781378
100123,31859,3,19,-11,-13889.648,18836.97,215614.5,-0.041584365,0.0011536388,1.3781378
100150,38637,6,17,11,-8778.324,22660.422,212760.5,0.009830133,-0.011612972,2.1018007
100150,38637,6,18,11,-8766.069,22643.182,214187.5,0.0076368186,-0.006363306,2.1018007
100150,38637,6,19,11,-8758.186,22632.53,215614.5,0.0041510565,-0.0067325435,2.1018007
100150,38637,6,20,11,-8751.56,22624.246,217041.48,0.0050838436,-0.0008992473,2.1018007
100150,38637,6,21,11,-8750.826,22619.205,218468.48,-0.003894026,-0.0022113253,2.1018007
100150,38637,6,22,11,-8763.593,22615.367,219895.5,-0.014755733,-0.0032392852,2.1018007
100150,38673,3,17,-11,-8794.233,22668.865,212760.5,-0.0026925975,-0.0026754763,1.8641735
100150,38673,3,19,-11,-8793.057,22671.227,215614.5,0.0032365446,0.0016271858,2.0853112
100150,38673,3,20,-11,-8788.589,22673.887,217041.48,0.0077692573,0.005274758,2.0853112
100155,40049,3,17,11,-17449.71,15523.606,212760.5,-0.016057229,0.0020197004,1.982746
100155,40049,3,18,11,-17475.438,15519.806,214187.5,-0.021698436,0.0016349514,1.982746
100155,40049,3,19,11,-17504.61,15511.876,215614.5,-0.019179985,-0.011772266,1.982746
100155,40163,3,17,11,-17443.656,15516.571,212760.5,-0.0036681946,0.007810133,1.0788858
