evtID,trkID,segnum,PID,pdgID,X,Y,Z,TX,TY,E,minPID,injectPID
100089.0,23446.0,3.0,19.0,-11.0,-7365.994,22751.629,215614.5,-0.0018118687,0.00090402295,2.6990316,18.0,0.0
100089.0,23446.0,3.0,21.0,11.0,-7366.776,22748.521,218468.48,0.00021226736,0.0017906115,5.970067,18.0,0.0
100089.0,23276.0,3.0,20.0,-11.0,-7345.6504,22771.312,217041.48,0.0012367589,-0.0015571065,0.27739412,17.0,0.0
100089.0,23276.0,3.0,23.0,-11.0,-7354.7505,22782.291,221322.5,-0.0057222457,0.0056377295,0.40902928,17.0,0.0
100089.0,18389.0,6.0,12.0,11.0,-7382.633,22761.662,205625.48,-0.0010585258,-0.0028304385,200.0,10.0,0.0
100089.0,18389.0,6.0,14.0,-11.0,-7390.1416,22763.941,208479.5,-0.0021436608,0.0022465845,0.7614273,10.0,0.0
100089.0,18389.0,6.0,15.0,-11.0,-7394.6797,22765.621,209906.5,-0.005667629,0.0032465095,0.7614273,10.0,0.0
100089.0,18389.0,6.0,19.0,11.0,-7416.073,22767.734,215614.5,-0.0040855464,-0.003032465,0.28200802,10.0,0.0
100089.0,18389.0,6.0,20.0,-11.0,-7420.165,22771.033,217041.48,-0.0012350837,0.0059792665,2.2930892,10.0,0.0
100089.0,23218.0,15.0,24.0,11.0,-7387.7856,22679.885,222749.5,0.001058035,-0.009626217,1.8397315,20.0,0.0
100089.0,20135.0,9.0,13.0,-11.0,-7377.854,22773.326,207052.48,-0.0048495806,0.0019534656,3.0873158,13.0,0.0
100089.0,20135.0,9.0,14.0,-11.0,-7385.794,22769.494,208479.5,-0.00034959856,-0.000712495,4.5554314,13.0,0.0
100089.0,20135.0,9.0,16.0,11.0,-7390.6035,22767.135,211333.5,-0.001229878,0.0025092815,9.83827,13.0,0.0
100089.0,20135.0,9.0,17.0,11.0,-7392.6265,22769.404,212760.5,-0.000174119,-0.00064240856,9.83827,13.0,0.0
100089.0,20135.0,9.0,19.0,11.0,-7393.6733,22771.178,215614.5,-0.00026716667,0.0030169259,9.83827,13.0,0.0
100089.0,20135.0,9.0,20.0,11.0,-7397.4,22772.816,217041.48,-0.006031014,0.0019407605,9.83827,13.0,0.0
100089.0,20135.0,9.0,23.0,11.0,-7433.1807,22792.229,221322.5,-0.007465325,-0.00033484324,9.83827,13.0,0.0
100089.0,21894.0,3.0,25.0,11.0,-7372.317,22778.486,224176.5,-0.0021590288,0.008754121,0.86597884,23.0,0.0
100089.0,5979.0,4.0,6.0,11.0,-7367.631,22770.742,197063.48,-0.00066146837,0.004045976,7.551441,6.0,0.0
100089.0,5979.0,4.0,7.0,11.0,-7366.741,22775.744,198490.5,-0.0017055371,0.0026663523,7.551441,6.0,0.0
100089.0,5979.0,4.0,8.0,-11.0,-7363.107,22777.852,199917.5,0.003613508,0.00058259064,3.0806715,6.0,0.0
100089.0,5979.0,4.0,11.0,-11.0,-7349.3965,22761.467,204198.5,0.0017645088,-0.009227,1.0857483,6.0,0.0
